name,vrom_start,vrom_end,vram_start
ovl_Obj_Timeblock,F4EBB0,F4F970,80B9FFA0
ovl_Obj_Tsubo,F4F970,F50A00,80BA0D60
ovl_Obj_Warp2block,F50A00,F516B0,80BA1DF0
ovl_Object_Kankyo,F516B0,F54C80,80BA2AA0
ovl_Oceff_Spot,F54C80,F55CF0,80BA6070
ovl_Oceff_Storm,F55CF0,F579A0,80BA70E0
ovl_Oceff_Wipe,F579A0,F587C0,80BA8D90
ovl_Oceff_Wipe2,F587C0,F5A000,80BA9BB0
ovl_Oceff_Wipe3,F5A000,F5B820,80BAB3F0
ovl_Oceff_Wipe4,F5B820,F5C8D0,80BACC10
ovl_Shot_Sun,F5C8D0,F5D010,80BADCC0
